      11 text files.
classified 11 files      11 unique files.                              
       0 files ignored.

language,filename,blank,comment,code,"http://cloc.sourceforge.net v 1.60  T=0.04 s (264.6 files/s, 48686.8 lines/s)"
C++,/home/gmv/RHA/SW/lib/cytron_g15_servo/cytron_g15_servo.cpp,112,86,380
C/C++ Header,/home/gmv/RHA/SW/src/utilities.h,39,52,281
C++,/home/gmv/RHA/SW/lib/servo_rha/servo_rha.cpp,52,126,159
C/C++ Header,/home/gmv/RHA/SW/lib/cytron_g15_servo/cytron_g15_servo.h,27,58,148
C/C++ Header,/home/gmv/RHA/SW/lib/servo_rha/servo_rha.h,20,15,62
C/C++ Header,/home/gmv/RHA/SW/lib/debug/debug.h,16,38,59
C++,/home/gmv/RHA/SW/lib/joint_rha/joint_rha.cpp,14,59,42
C/C++ Header,/home/gmv/RHA/SW/lib/joint_rha/joint_rha.h,10,11,26
C++,/home/gmv/RHA/SW/lib/joint_handler/joint_handler.cpp,10,24,24
C++,/home/gmv/RHA/SW/src/main.cpp,9,27,12
C/C++ Header,/home/gmv/RHA/SW/lib/joint_handler/joint_handler.h,5,11,10
